,Title,Poem,Poet,Tags,gender
538,"
                    Sex, Night
                ","
Once again, someone falls in their first falling–fall of two bodies, of two eyes, of four green eyes or eight green eyes if we count those born in the mirror (at midnight, in the purest fear, in the loss), you haven’t been able to recognize the voice of your dull silence, to see the earthly messages scrawled in the middle of one mad state, when the body is a glass and from ourselves and from the other we drink some kind of impossible water.
         Desire needlessly spills on me a cursed liqueur. For my thirsty thirst, what can the promise of eyes do? I speak of something not in this world. I speak of someone whose purpose is elsewhere.
         And I was naked in memory of the white night. Drunk and I made love all night, just like a sick dog.
         Sometimes we suffer too much reality in the space of a single night. We get undressed, we’re horrified. We’re aware the mirror sounds like a watch, the mirror from which your cry will pour out, your laceration.
         Night opens itself only once. It’s enough. You see. You’ve seen. Fear of being two in the mirror, and suddenly we’re four. We cry, we moan, my fear, my joy more horrible than my fear, my visceral words, my words are keys that lock me into a mirror, with you, but ever alone. And I am well aware what night is made of. We’ve fallen so completely into jaws that didn’t expect this sacrifice, this condemnation of my eyes which have seen. I speak of a discovery: felt the I in sex, sex in the I. I speak of burying everyday fear to secure the fear of an instant. The purest loss. But who’ll say: you don’t cry anymore at night? Because madness is also a lie. Like night. Like death.
 
",Alejandra Pizarnik,"Living,The Body,The Mind,Love,Desire",F
540,"
                    [All night I hear the noise of water sobbing.]
                ","
All night I hear the noise of water sobbing. All night I make night in me, I make the day that begins on my account, that sobs because day falls like water through night.
         All night I hear the voice of someone seeking me out. All night you abandon me slowly like the water that sobs slowly falling. All night I write luminous messages, messages of rain, all night someone checks for me and I check for someone.
         The noise of steps in the circle near this choleric light birthed from my insomnia. Steps of someone who no longer writhes, who no longer writes. All night someone holds back, then crosses the circle of bitter light.
         All night I drown in your eyes become my eyes. All night I prod myself on toward that squatter in the circle of my silence. All night I see something lurch toward my looking, something humid, contrived of silence launching the sound of someone sobbing.
         Absence blows grayly and night goes dense. Night, the shade of the eyelids of the dead, viscous night, exhaling some black oil that blows me forward and prompts me to search out an empty space without warmth, without cold. All night I flee from someone. I lead the chase, I lead the fugue. I sing a song of mourning. Black birds over black shrouds. My brain cries. Demented wind. I leave the tense and strained hand, I don’t want to know anything but this perpetual wailing, this clatter in the night, this delay, this infamy, this pursuit, this inexistence.
         All night I see that abandonment is me, that the sole sobbing voice is me. We can search with lanterns, cross the shadow’s lie. We can feel the heart thud in the thigh and water subside in the archaic site of the heart.
         All night I ask you why. All night you tell me no.
 
",Alejandra Pizarnik,"Living,Sorrow & Grieving,The Mind,Love,Break-ups & Vexed Love",F
569,"
                    Late Summer after a Panic Attack
                ","
I can’t undress from the pressure of leaves,
the lobed edges leaning toward the window
like an unwanted male gaze on the backside,
(they wish to bless and bless and hush).
What if I want to go devil instead? Bow
down to the madness that makes me. Drone
of the neighbor’s mowing, a red mailbox flag
erected, a dog bark from three houses over,
and this is what a day is. Beetle on the wainscoting,
dead branch breaking, but not breaking, stones
from the sea next to stones from the river,
unanswered messages like ghosts in the throat,
a siren whining high toward town repeating
that the emergency is not here, repeating
that this loud silence is only where you live.
",Ada Limón,"Living,Health & Illness,The Mind",F
590,"
                    The Dream of Reason
                ","
I  Self-Portrait
A house
with three stories.
In the basement, monsters.
The upper floors were empty.
No furniture, nothing.
I had a magic pebble
that I needed to hide.
But where?
Woke in a room
with the bed breathing.
Each day the same
scandal—this body.
These teeth and hands.
 
 
 
 
 
2  The Miniature Bed
A miniature bed, and in it two tiny people
not sleeping, not able to sleep because
a small lie has flowered between them,
fragile as a new, white crocus.
The miniature bed holds them like a miniature boat
making its slow, true course to morning.
These tiny people, thoughts thrumming like mice,
are quiet as the lie blooms over them
in the night, fanning its moth petals,
becoming to them like a moon hovering
over their bed, a moon they might almost touch
with their miniature hands, if they weren't certain
that one wrong gesture might break
the spindles of their small world, if their hearts
were not drops of trembling quicksilver,
if they were brave, if they could see
that small is no smaller than big, that thimbles
are deep as oceans for any god, they might even
touch each other then, opening the dark,
like a match, the sun's flaring.     
3  Harvest
 
The fields are a book of uses.
Near the house
a combine takes the corn down
in long rows.
Dust rises up and replaces itself.
A quick net of starlings
drops to the furrows
and sunshine pours like polished grain
onto the feeding earth,
this country.
 
In the kitchen, milk streams
from the gallon
thin and fresh as luck.
We flourish.
All around us, things flourish.
Cows strain the fence with their abundance.
The herd makes a sound like swelling.
 
Out in the cut field
birds clean the fallen cobs
into sets of teeth.     
4  Sonnet for Lost Teeth
 
The combines were tearing off the field’s clothes.
It was August, haying season. My tooth
was loose, a snag in the clam of my mouth.
I worked it like a pearl. I'd been out of school
for sixty days. In the sweat of the barn
I watched him shoot the calf in the head.
He wiped the hide gently, like cleaning his glasses.
Overnight, I grew a beard so I wouldn't
have to get married. I let my feet go black
from burned grasses. It never gets easier
he said, kicking straw over the blood patch.
She went down so quiet it was almost
sad. Later, when my tooth fell out, I buried it
under my pillow and it grew into money.     
5  Talisman
 
Waiting for the school bus you find
the femur of a baby animal
on the ground. You carry
that femur in your pocket
the entire morning and touch it
secretly through the cloth.
When the teacher asks
a question you don't raise
your hand but quietly
wrap your fingers around
the thin shape, that bone
without a mother.     
6  On Waking
 
Half of everything is invisible.
A river drifts below the river.
A gesture lost in the body.
Wind moves through the open
windows of the trees.
 
Beyond the day, another day.
 
Dreamed I was drowning
my mother's silk laundry
in the river,
kneeling on the wet rocks.
Back and forth I drowned it
in the gray clouds...     
7  Eros
 
Each year fish run the green vein of the river.
The bones of skunks lie buried in the riverbank
upside down, waiting for rain.
 
From a fragment of a Greek statue
you can tell the posture of the whole god.
A skeleton has the same intelligence.
 
So that when a girl discovers it,
loosened by summer rain, surfaced
like a white instrument in the grass,
she suddenly knows how to take it up
and shake the strange rhythms from it like castanets.     
8  A Childhood
 
The horse had been beaten and flies
crawled excited on the beat marks.
He held still in the sunblazed pasture.
For a few minutes I stood at the wire fence.
He was aware of me, but he did not turn—
except his eye, slightly. He listened
through the many ears of the grasses.
A jay made a hole in the air with its cry.
Everywhere, invisible as heat, the gods
married each other and went to war.
The excitement of it vibrated in the flies.
As if we both were standing still
inside some greater, more violent motion.
 
",Jenny George,"Living,Death,The Mind,Youth,Nature,Animals,Mythology & Folklore,Greek & Roman Mythology",F
597,"
                    “I’m Stepping Up in Singing Sandals, No Use For”
                ","
The eye’s desire for relief.
I’m the tiger lily bobbing in the heat.
And also the neighbor, shaved bald and
lifting weights on the balcony. Each petal
is the receipt of a shameful dream—
a thought we hadn’t wanted to incorporate
lolling from my parted mouth.
But you know it’s mistakes that make life happen.
A cardboard suitcase of beer for the traveler.
And if we get too close to the words
on this page they soften and warp
into an animal lace, some net
whose logic won’t reveal itself. I pull our eyes
back because I love you. But then you draw them
back further still because that sounds like an excuse.
The whiny version of Love Hurts loops and curls
like ribbon through a scissor, being pulled
across the blade. The money in this poem’s
easy, if you don’t mind having no thoughts and
sitting in one place, while your body changes shape.
 
",Bridget Talone,"Living,The Mind,Love,Arts & Sciences,Language & Linguistics,Poetry & Poets,Social Commentaries,Money & Economics",F
692,"
                    ""Pity me not because the light of day""
                ","
Pity me not because the light of day
At close of day no longer walks the sky;
Pity me not for beauties passed away
From field and thicket as the year goes by;
Pity me not the waning of the moon,
Nor that the ebbing tide goes out to sea,
Nor that a man’s desire is hushed so soon,
And you no longer look with love on me.
This have I known always: Love is no more
Than the wide blossom which the wind assails,
Than the great tide that treads the shifting shore,
Strewing fresh wreckage gathered in the gales:
Pity me that the heart is slow to learn
What the swift mind beholds at every turn.
",Edna St. Vincent Millay,"Living,The Mind,Love,Heartache & Loss,Romantic Love",F
697,"
                    ""Still will I harvest beauty where it grows""
                ","
Still will I harvest beauty where it grows:
In coloured fungus and the spotted fog
Surprised on foods forgotten; in ditch and bog
Filmed brilliant with irregular rainbows
Of rust and oil, where half a city throws
Its empty tins; and in some spongy log
Whence headlong leaps the oozy emerald frog. . . .
And a black pupil in the green scum shows.
Her the inhabiter of divers places
Surmising at all doors, I push them all.
Oh, you that fearful of a creaking hinge
Turn back forevermore with craven faces,
I tell you Beauty bears an ultra fringe
Unguessed of you upon her gossamer shawl!
 
",Edna St. Vincent Millay,"Living,The Mind,Nature,Landscapes & Pastorals",F
698,"
                    ""Euclid alone has looked on Beauty bare.""
                ","
Euclid alone has looked on Beauty bare.
Let all who prate of Beauty hold their peace,
And lay them prone upon the earth and cease
To ponder on themselves, the while they stare
At nothing, intricately drawn nowhere
In shapes of shifting lineage; let geese
Gabble and hiss, but heroes seek release
From dusty bondage into luminous air.
O blinding hour, O holy, terrible day,
When first the shaft into his vision shone
Of light anatomized! Euclid alone
Has looked on Beauty bare. Fortunate they
Who, though once only and then but far away,
Have heard her massive sandal set on stone.
",Edna St. Vincent Millay,"Living,The Mind,Arts & Sciences",F
745,"
                    A Letter
                ","
 I came here, being stricken, stumbling out
At last from streets; the sun, decreasing, took me
For days, the time being the last of autumn,
The thickets not yet stark, but quivering
With tiny colors, like some brush strokes in
The manner of the pointillists; small yellows
Dart shaped, little reds in different pattern,
Clicks and notches of color on threaded bushes,
A cracked and fluent heaven, and a brown earth.
I had these, and my food and sleep—enough.
 
This is a countryside of roofless houses,—
Taverns to rain,—doorsteps of millstones, lintels
Leaning and delicate, foundations sprung to lilacs.
Orchards where boughs like roots strike into the sky.
Here I could well devise the journey to nothing,
At night getting down from the wagon by the black barns,
The zenith a point of darkness, breaking to bits,
Showering motionless stars over the houses.
Scenes relentless—the black and white grooves of a woodcut.
 
But why the journey to nothing or any desire?
Why the heart taken by even senseless adventure,
The goal a coffer of dust?    Give my mouth to the air,
Let arrogant pain lick my flesh with a tongue
Rough as a cat’s; remember the smell of cold mornings,
The dried beauty of women, the exquisite skin
Under the chins of young girls, young men’s rough beards,—
The cringing promise of this one, that one’s apology
For the knife struck down to the bone, gladioli in sick rooms,
Asters and dahlias, flowers like ruches, rosettes. . .
 
Forever enough to part grass over the stones
By some brook or well, the lovely seed-shedding stalks;
To hear in the single wind diverse branches
Repeating their sounds to the sky—that sky like scaled mackerel,
Fleeing the fields—to be defended from silence,
To feel my body as arid, as safe as a twig
Broken away from whatever growth could snare it
Up to a spring, or hold it softly in summer
Or beat it under in snow.
 
                                                       I must get well.
Walk on strong legs, leap the hurdles of sense,  
Reason again, come back to my old patchwork logic,
Addition, subtraction, money, clothes, clocks,
Memories (freesias, smelling slightly of snow and of flesh
In a room with blue curtains) ambition, despair.
I must feel again who had given feeling over,
Challenge laughter, take tears, play the piano,
Form judgments, blame a crude world for disaster.
 
To escape is nothing.    Not to escape is nothing.
The farmer’s wife stands with a halo of darkness
Rounding her head.    Water drips in the kitchen
Tapping the sink.    To-day the maples have split
Limb from the trunk with the ice, a fresh wooden wound.
The vines are distorted with ice, ice burdens the breaking
Roofs I have told you of.
 
",Louise Bogan,"Living,Life Choices,Sorrow & Grieving,The Mind,Nature",F
749,"
                    The Alchemist
                ","
 I burned my life, that I might find
A passion wholly of the mind,
Thought divorced from eye and bone,
Ecstasy come to breath alone.
I broke my life, to seek relief
From the flawed light of love and grief.
 
With mounting beat the utter fire
Charred existence and desire.
It died low, ceased its sudden thresh.
I had found unmysterious flesh—
Not the mind’s avid substance—still
Passionate beyond the will.
 
 
",Louise Bogan,"Living,The Body,The Mind,Religion,The Spiritual,Arts & Sciences,Sciences",F
753,"
                    Sonnet
                ","
Since you would claim the sources of my thoughtRecall the meshes whence it sprang unlimed,The reedy traps which other hands have timedTo close upon it. Conjure up the hotBlaze that it cleared so cleanly, or the snowDevised to strike it down. It will be free.Whatever nets draw in to prison meAt length your eyes must turn to watch it go.
 My mouth, perhaps, may learn one thing too well,My body hear no echo save its own,Yet will the desperate mind, maddened and proud,Seek out the storm, escape the bitter spellThat we obey, strain to the wind, be thrownStraight to its freedom in the thunderous cloud.
 
",Louise Bogan,"Living,The Mind,Relationships,Friends & Enemies",F
781,"
                    Taste
                ","
All my life I’ve asked my master
Why I am unable to choose
This sweet man or fancy shoes
Over this stranger, more difficult lover
And these expensive but practical loafers
And why I am unable to author
A book exhibiting my full potential
And have focused instead on inconsequential
Letters to strange and difficult lovers
Who by my letters were never changed.
I certainly haven’t been constrained
By terrible parents or trauma or poverty
And even if I had it wouldn’t explain
My propensity for misery
Anymore than it would my
Propensity for joy.
Maybe I’m just a procrastinator
As life is a procrastination of death
And each breath just a procrastination of breath
And friends a procrastination of work
And work a procrastination of love
And love a procrastination I’m just not above.
",Jessica Laser,"Living,Disappointment & Failure,Life Choices,The Mind,Time & Brevity,Love,Realistic & Complicated,Arts & Sciences,Poetry & Poets",F
808,"
                    My Wisdom
                ","
When people have a lot
they want more
 
When people have nothing
they will happily share it
 
*
 
Some people say
never getting your way
builds character
By now our character must be
deep and wide as a continent
Africa, Australia
giant cascade of stars
spilling over our huge night
 
*
 
Where did the power go?
Did it enjoy its break?
Is power exhausted?
What is real power?
Who really has power?
Did the generator break?
Do we imagine silence
more powerful because
it might contain everything?
Quiet always lives
inside noise.
But does it get much done?
 
*
 
Silence waits
for truth to break it
 
*
 
Calendars can weep too
They want us to have better days
 
*
 
Welcome to every minute
Feel lucky you’re still in it
 
*
 
No bird builds a wall
 
*
 
Sky purse
     jingling
           change
 
*
 
Won’t give up
our hopes
            for anything!
 
*
 
Not your fault
You didn’t make the world
 
*
 
How dare this go on and on?
cried the person who believed in praying
God willing     God willing        God willing
There were others who prayed
   to ruins & stumps
 
*
 
Open palms
     hold more
 
*
 
Refuse to give
   mistakes
      too much power
 
 
*
Annoying person?
Person who told me to stay home
and do what other girls do?
If you disappeared
I still might miss you
 
*
 
Babies want to help us
They laugh
for no reason
 
*
 
Pay close attention to
a drop of water
on the kitchen table
 
*
 
You cannot say one word about religion
and exclude Ahmad
 
",Naomi Shihab Nye,"Living,The Mind,Religion,Arts & Sciences,Language & Linguistics,Social Commentaries,History & Politics,War & Conflict",F
845,"
                    immediately motionless likeness
                ","
by going you have to be and
seek it
out
 
said the starlet in the shared volitional language of space and time
explanation thrashes round the thing but doesn’t touch it
the thing we know then as /style of thrashing/ or
ripples in the pond sufficient
in itself, she licks her tongue, it could be desired as a figure—
 
faithless as a class of examples
i found new objects swimming blankly in a common
sense, by going alone to listen
                                                to them
                         in the night
            light of their pool—
 
                                     to begin with life or stars
                                                              the spring as source or
                                                      season
                                         when to start—i love what you
                        said about the birds
                        as distance is required for attraction
                        & force keeps its distinctions
                        in a tall hull
                        called law—
                        clever in the style of depth in a painting
                        sumptuous for use, and briefly this
                        of fancy, pity, and devising,
                        wherefore as it is at the right door
                        make it language or rejoice
                        this is how you touch me in my other ghosts
                        & short of the occasion
                        just a frequent mist of atoms
                        all touching in the arms
                        like an error in the wish
 
",Kirsten Ihns,"Living,The Mind,Love,Desire,Arts & Sciences,Language & Linguistics",F
937,"
                    When Roots Are Exposed
                ","
I.
The empty of stomach
manifests silence
a stillness
that levels
coffee in a cup
and in a respectful manner
allows steam to penetrate
the surface.
Reversal of action
has created my sandstone canyon
rooted cedar and sage at my feet.
This movement is where
a tranquility stems.
II.
When my child creates
bubbles through a soapy wand,
I occupy the action of fate
that bursts the perfect form.
A halcyon absorbed
nesting within
the existence of the form
that no longer exists.
The formless form
is where my mind floats.
III.
It is easy to give form
especially with English words
a promotion of mechanical ligaments
binding spirit with assembly-fabricated molds.
Just as my hair poses an appendage of my brain
my tongue poses an appendage of my heart.
I cannot classify this thought as a typewritten symbol.
An ideogram of essence
cultivates my stillness to action.
 
",Esther Belin,"Living,The Body,The Mind,Arts & Sciences,Language & Linguistics,Poetry & Poets",F
965,"
from The Ambition of Ghosts:  I. Remembering into Sleep
                ","
I. Separation Precedes Meeting
The cat so close
to the fire
I smell scorched
breath. Parents,
silent, behind me,
a feeling of
trees that might fall.
Or dogs.
                 A poem,
like trying
to remember,
is a movement
of the whole body.
You follow the
fog
into more fog.
Maybe the door ahead
divides
the facts
from natural affection. How
can I know. I meet
too many
in every mirror.
 
 
 2.
 
When I was little,
was I I?
My sister? A wolf
chained,
smothered in green virtues?
                                              Slower
time
of memory. Once
I’ve got something
I lie
down on it
with my whole body.
Goethe quotations, warm
sand, a smell of hay,
long afternoons.
                            But it
would take a road
would turn, with space,
in on itself,
would turn
occasion into offer.
 
 
 
 
 3.
 
For days I hold
a tiny landscape between
thumb
and index:
sand,
heather,
shimmer of blue between pines.
No smell: matchbook.
Sand as schematic as
                                    Falling
into memory,
down,
with my blood,
to the accretions
in the arteries,
to be read with the whole
body, in the chambers
of the heart.
The light: of the match,
struck,
at last.
 
 
 
 
 
    4.
 
Concentration: a frown
of the whole body. I can’t
remember. Too many
pasts
recede
in all directions.
Slow movement into
                                   Distant boots.
Black beetles at night. A smell
of sweat.
                 The restaurant,
yes. You’ve no idea
how much my father used to eat.
Place thick with smoke.
Cards. Beer foaming over
on the table.
                     And always
some guy said I ought
to get married,
put a pillow behind my eyes
and, with a knowing
sigh, spat
in my lap.
 
 
 
 
 
 5.
 
The present.
As difficult as
the past, once a place
curves into
           Hips swinging elsewhere.
Castles in sand.
Or Spain. Space
of another language.
                                   Sleep
is a body of water.
You follow your lips
into its softness. Far down
the head finds its level
    
 
 
 
 
 6. Tropisms
 
Inward, always. Night
curls the clover leaf
around its sleep.
Tightly.
The bodies of the just
roll,
all night,
through subterranean caves
which turn
in on themselves.
                                Long
tunnel
of forgetting. Need
of blur. The air,
large, curves
its whole body.
Big hammering waves
flatten my
muscles.
Inward, the distances: male
and female fields,
rigorously equal.
    
 
 
 
 
 
 7.
 
The drunk fell toward me
in the street. I hope
he wasn’t
disappointed. Skinned
his sleep.
                 November.
 
And a smell of snow. Quite normal,
says the landlord, the master
of rubbish, smaller
and smaller in my
curved mirror.
                         I have un-
controllable
good luck: my sleep
always turns dense
and visible. There
are many witches
in Germany. Their songs
descend in steady half-tones
through you.
 
 
 
 
 
 
 8.
 
You’ll die, Novalis says, you’ll die
following endless rows
of sheep into your
even breath.
                     Precarious,
like Mozart, a living
kind of air,
keeps the dream
spinning
around itself, its
missing core.
Image
after image of pleasure
of the whole body
deepens
my sleep:
 
fins.
 
 
 
 
 
 
    9. Introducing Decimals
 
A dream, like trying
to remember, breaks open words
for other,
hidden meanings. The grass
pales by degrees, twigs
quaver glassily,
ice
flowers the window.
Intimate equations more complicated
than the coordinates of past
and Germany. The cat
can’t lift its paw,
its leg longer and longer
with effort.
A crying fit
is cancelled. An aria jelled
in the larynx.
Nothing moves in the cotton
coma: only Descartes
pinches himself
an every fraction
must be solved.
 
 
",Rosmarie Waldrop,"Living,Coming of Age,The Body,The Mind,Relationships,Family & Ancestors,Home Life,Arts & Sciences,Philosophy,Poetry & Poets,Reading & Books",F
1058,"
                    Blues for Almost Forgotten Music
                ","
I am trying to remember the lyrics of old songs
                                                            I’ve forgotten, mostly
I am trying to remember one-hit wonders, hymns,
                                              and musicals like West Side Story.
Singing over and over what I can recall, I hum remnants on
                                                             buses and in the car.
 
I am so often alone these days with echoes of these old songs
                                                          and my ghosted lovers.
I am so often alone that I can almost hear it, can almost feel
                                                        the half-touch of others,
can almost taste the licked clean spine of the melody I’ve lost.
 
I remember the records rubbed with static and the needle
                                                                     gathering dust.
I remember the taste of a mouth so sudden and still cold from
                                                                         wintry gusts.
It seemed incredible then — a favorite song, a love found.
                                                                It wasn't, after all.
 
Days later, while vacuuming, the lyrics come without thinking.
Days later, I think I see my old lover in a café but don’t,
                                                                        how pleasing
it was to think it was him, to finally sing that song.
 
This is the way of all amplitude: we need the brightness
                                                                         to die some.
This is the way of love and music: it plays like a god and
                                                                       then is done.
Do I feel better remembering, knowing for certain
                                                                       what’s gone?
",Roxane Beth Johnson,"Living,The Mind,Time & Brevity,Love,Heartache & Loss,Relationships,Arts & Sciences,Music",F
