,Title,Poem,Poet,Tags,gender
679,"
                    Café du Néant
                ","
Little tapers leaning lighted diagonally
Stuck in coffin tables of the Café du Néant
Leaning to the breath of baited bodies
Like young poplars fringing the Loire
 
Eyes that are full of love
And eyes that are full of kohl
Projecting light across the fulsome ambiente
Trailing the rest of the animal behind them
Telling of tales without words
And lies of no consequence
One way or another
 
The young lovers hermetically buttoned up in black
To black cravat
To the blue powder edge dusting the yellow throat
What color could have been your bodies
When last you put them away
 
Nostalgic youth
Holding your mistress's pricked finger
In the indifferent flame of the taper
Synthetic symbol of LIFE
In this factitious chamber of DEATH
The woman
As usual
Is smiling as bravely
As it is given to her to be brave
 
While the brandy cherries
In winking glasses
Are decomposing
Harmoniously
With the flesh of spectators
And at a given spot
There is one
Who
Having the concentric lighting focussed precisely upon her
Prophetically blossoms in perfect putrefaction
Yet there are cabs outside the door.
 
",Mina Loy,"Living,Death,Life Choices,Love,Desire",F
681,"
                    Love Songs
                ","
I
 
Spawn of fantasies
Sifting the appraisable
Pig Cupid his rosy snout
Rooting erotic garbage
""Once upon a time""
Pulls a weed white star-topped
Among wild oats sown in mucous membrane
I would an eye in a Bengal light
Eternity in a sky-rocket
Constellations in an ocean
Whose rivers run no fresher
Than a trickle of saliva
 
These are suspect places
 
I must live in my lantern
Trimming subliminal flicker
Virginal to the bellows
Of experience
Colored glass.
 
 
 
II
 
At your mercy
Our Universe
Is only
A colorless onion
You derobe
Sheath by sheath
Remaining
A disheartening odour
About your nervy hands
 
 
 
III
 
Night
Heavy with shut-flower's nightmares
---------------------------------------------
Noon
Curled to the solitaire
Core of the
Sun
 
 
 
IV
 
Evolution fall foul of
Sexual equality
Prettily miscalculate
Similitude
 
Unnatural selection
Breed such sons and daughters
As shall jibber at each other
Uninterpretable cryptonyms
Under the moon
 
Give them some way of braying brassily
For caressive calling
Or to homophonous hiccoughs
Transpose the laugh
Let them suppose that tears
Are snowdrops or molasses
Or anything
Than human insufficiences
Begging dorsal vertebrae
 
Let meeting be the turning
To the antipodean
And Form a blur
Anything
Than to seduce them
To the one
As simple satisfaction
For the other
 
 
 
V
 
Shuttle-cock and battle-door
A little pink-love
And feathers are strewn
 
 
 
VI
 
Let Joy go solace-winged
To flutter whom she may concern
 
 
 
VII
 
Once in a mezzanino
The starry ceiling
Vaulted an unimaginable family
Bird-like abortions
With human throats
And Wisdom's eyes
Who wore lamp-shade red dresses
And woolen hair
 
One bore a baby
In a padded porte-enfant
Tied with a sarsenet ribbon
To her goose's wings
 
But for the abominable shadows
I would have lived
Among their fearful furniture
To teach them to tell me their secrets
Before I guessed
-- Sweeping the brood clean out
 
 
 
VIII
 
Midnight empties the street
--- --- --- To the left a boy
--- One wing has been washed in rain
The other will never be clean any more ---
Pulling door-bells to remind
Those that are snug
To the right a haloed ascetic
Threading houses
Probes wounds for souls
--- The poor can't wash in hot water ---
And I don't know which turning to take ---
 
 
 
IX
 
We might have coupled
In the bed-ridden monopoly of a moment
Or broken flesh with one another
At the profane communion table
Where wine is spill't on promiscuous lips
 
We might have given birth to a butterfly
With the daily-news
Printed in blood on its wings
 
 
 
X
 
In some
Prenatal plagiarism
Foetal buffoons
Caught tricks
--- --- --- --- ---
From archetypal pantomime
Stringing emotions
Looped aloft
--- --- --- ---
For the blind eyes
That Nature knows us with
And most of Nature is green
--- --- --- --- --- --- --- --- --- --- --- ---
 
 
 
XI
 
Green things grow
Salads
For the cerebral
Forager's revival
And flowered flummery
Upon bossed bellies
Of mountains
Rolling in the sun
 
 
 
XII
 
Shedding our petty pruderies
From slit eyes
 
We sidle up
To Nature
--- --- --- that irate pornographist
 
 
 
XIII
 
The wind stuffs the scum of the white street
Into my lungs and my nostrils
Exhilarated birds
Prolonging flight into the night
Never reaching --- --- --- --- ------ --- ---
",Mina Loy,"Love,Desire,Realistic & Complicated,Nature",F
696,"
                    ""I, being born a woman and distressed""
                ","
I, being born a woman and distressed
By all the needs and notions of my kind,
Am urged by your propinquity to find
Your person fair, and feel a certain zest
To bear your body’s weight upon my breast:
So subtly is the fume of life designed,
To clarify the pulse and cloud the mind,
And leave me once again undone, possessed.
Think not for this, however, the poor treason
Of my stout blood against my staggering brain,
I shall remember you with love, or season
My scorn with pity,—let me make it plain:
I find this frenzy insufficient reason
For conversation when we meet again.
",Edna St. Vincent Millay,"Love,Desire,Realistic & Complicated,Social Commentaries,Gender & Sexuality",F
700,"
                    ""She had forgotten how the August night""
                ","
She had forgotten how the August night
Was level as a lake beneath the moon,
In which she swam a little, losing sight
Of shore; and how the boy, who was at noon
Simple enough, not different from the rest,
Wore now a pleasant mystery as he went,
Which seemed to her an honest enough test
Whether she loved him, and she was content.
So loud, so loud the million crickets’ choir. . .
So sweet the night, so long-drawn-out and late. . .
And if the man were not her spirit’s mate,
Why was her body sluggish with desire?
Stark on the open field the moonlight fell,
But the oak tree’s shadow was deep and black and
     secret as a well.
 
",Edna St. Vincent Millay,"Love,Desire,Realistic & Complicated,Social Commentaries,Gender & Sexuality",F
748,"
                    Knowledge
                ","
Now that I know
How passion warms little
Of flesh in the mould,
And treasure is brittle,—
 
I’ll lie here and learn
How, over their ground,
Trees make a long shadow
And a light sound.
 
",Louise Bogan,"Love,Desire,Heartache & Loss,Activities,School & Learning,Nature,Trees & Flowers",F
791,"
                    Held in the Arms of St. Francis & the Virgin
                ","
It tastes like all my night
when I'm at the bottom of the borough
sheets burn around me
through the night
Consecrate me
Consecrate me
Conserve me lover
In the sills of your love
in the cells of your palms
from the womb to cell
break me from the belly of ship
let me crash upon you
Consecrate me my lover in your rectum
in a rehabilitation center where athletes seek the best care
I break into you
Consecrate me I want to love you in Syracuse woods
in Sonnino love me against lamb’s wool
I am my sister's wife keeper
Consecrate me
in the discretion of sisters
nuns loving
and hating jobs that ask
with fangs barred
",Jasmine Gibson,"Living,The Body,Love,Desire,Religion,Christianity",F
792,"
                    15 Years of Paris
                ","



                                                 (for Daniel, because                                                  
                                                 the Catacombs) 



You’re leaving Las Vegas, except
In German. Point. Point. Point.
Gave it out, beautiful gentilhommeComme vous êtes, toujours,
Unforgettable, circa 2008 how
You made me cum like that -
She got so mad in the bed - the
Hotel bathroom floor,
The bathtub, the apartment where
I was the crying queen
 
Those o’s still unforgettable
And now Paris. I cried today OW!
Your Antarctica cold last
Night. You told me they fucked
You up / I told you he broke
My heart and OW! Freeze
Dried my bandaid right off.
And then the glasses shopping
Memories today yada yada
Wasn’t about the cum shot
Where or if, was about the
Islands and how you said
in the langue d’enemie
No less: “DON’T TOUCH”
 
Don’t Touch!? We just …
They fucked you up all right.
You give so clearly but have iced
Out all the incoming gifts. WELL
PING my darling Walden island.
I can’t take that kind of cold.I’m leaving Las Vegas.
Just a moon in Taurus trying
To sing the sweet and
It’s not a great user experience
 
But I just want you to know
How unforgettable you are
 
 
When the candles call to Hera
I hope they melt your
I hope a goddess or many
Wash that loneliness away
And when I see you again (in 15 years)
There’s only joy and more
 
I prefer you laughing to tears
The good way. Drink us when
We’re done. Well, I guess I did
Almost kill you with a
Razor shave once so it
Seems silly to say I’m sorry I
Lost the phantom thread.
Maybe everything’s a ridiculous
never-ending non-planet
Tho, u did kiss me like unicorns
Exist and bond our skin
Like the organ it deserves to be
Known as
 
 
To know how unforgettable
you are because there
lies the bridge to the
Mainland. & baby, you
Deserve it all.
 
",Katy Bohinc,"Love,Desire,Realistic & Complicated,Activities,Travels & Journeys",F
843,"
                    Six Songs of Love, Constancy, Romance, Inconstancy, Truth, and Marriage
                ","
Oh! yet one smile, tho' dark may lower 
Around thee clouds of woe and ill, 
Let me yet feel that I have power, 
Mid Fate's bleak storms, to soothe thee still. 
Tho' sadness be upon thy brow, 
Yet let it turn, dear love, to me, 
I cannot bear that thou should'st know 
Sorrow I do not share with thee. 
True love's wreath is of mountain flowers, 
They stand the storm and brave the blast, 
And blossom on, so love like ours 
Is sweetest when all else is past. 
Too well I know what storms have frowned, 
And now frown on life's troubled tide; 
Still darker let them gather round, 
They have no power on hearts so tried. 
Then say not that you may not bear, 
To shadow spirit light as mine; 
I shall not shrink, or fear to share 
The darkest fate if it be thine!
 
 Oh! say not love was never made 
For heart so light as mine; 
Must love then seek the cypress shade, 
Rear but a gloomy shrine. 
Oh! say not, that for me more meet 
The revelry of youth; 
Or that my wild heart cannot beat 
With deep devoted truth. 
Tho' mirth may many changes ring, 
'Tis but an outward show, 
Even upon the fond dove's wing 
Will varying colours glow. 
Light smiles upon my lip may gleam 
And sparkle o'er my brow, 
'Tis but the glisten of the stream 
That hides the gold below. 
'Tis love that gilds the mirthful hour, 
That lights the smile for me, 
Those smiles would instant lose their power, 
Did they not glance on thee!
 
 Oh! come to my slumber 
Sweet dreams of my love, 
I have hung the charmed wreath 
My soft pillow above. 
The roses are linked 
In a chain pure and white; 
And the rose-leaves are wet 
With the dew drops of night. 
The moon was on high 
As I gather'd each flower; 
The dew that then falls 
Has a magical power. 
The Spirit of slumber 
Those roses has blest; 
And sweet are the visions 
They'll bring to my rest. 
Be their spell on my soul, 
So they let me but see 
His dark eyes flash in love 
And his smile glance on me. 
Let sleep bring the image 
Of him far away; 
'Tis worth all the tears 
I shed for him by day. 
I have hung the charmed wreath 
My soft pillow above; 
Then come to my slumber, 
Sweet dreams of my love!
 
 
How vain to cast my love away 
On bosom false as thine; 
The floweret's bloom, that springs in May, 
Would be a safer shrine 
To build my fondest hopes upon, 
Tho' fragile it may be. 
That flower's smile is not sooner gone 
Than love that trusts to thee. 
Love asks a calm, a gentle home, 
Or else its life is o'er; 
If once you let its pinions roam, 
Oh! then 'tis love no more. 
The aspin's changefuI shade can be 
No shelter for the dove; 
And hearts as varying as that tree, 
Are sure no place for love. 
Hope linger'd long and anxiously, 
O'er failing faith, but now 
I give thee back each heartless sigh, 
Give back each broken vow. 
I'll trust the stay of tulip dyes, 
The calm of yon wild sea, 
The sunshine of the April skies, 
But never more to thee! 
 
 Oh! would that love had power to raise 
A little isle for us alone, 
With fairy flowers, and sunny rays, 
The blue sea wave its guardian zone. 
No other step should ever press 
This hidden Eden of the heart, 
And we would share its loveliness, 
From every other thing apart. 
The rose and violet should weep, 
Whene'er our leafy couch was laid, 
The lark should wake our morning sleep, 
The bulbul sing our serenade. 
And we would watch the starry hours, 
And call the moon to hear our vows, 
And we would cull the sweetest flowers, 
And twine fresh chaplets for our brows. 
 
 
I thought thus of the flowers, the moon, 
This fairy isle for you and me; 
And then I thought how very soon 
How very tired we should be.
 
                   Matrimonial Creed.
HE must be rich whom I could love, 
His fortune clear must be, 
Whether in land or in the funds, 
'Tis all the same to me. 
He must be old whom I could love, 
Then he'll not plague me long; 
In sooth 'twill he a pleasant sight,
To see him borne along 
To where the croaking ravens lurk, 
And where the earth worms dwell: 
A widow's hood will suit my face,
And black becomes me well. 
And he must make a settlement, 
I'll have no man without; 
And when he writes his testament, 
He must not leave me out. 
Oh! such a man as this would suit 
Each wish I here express; 
If he should say, — Will you have me? 
I'll very soon say — Yes! ⁠
 
",Letitia Elizabeth Landon,"Living,Marriage & Companionship,Love,Desire,Romantic Love,Relationships,Men & Women,Social Commentaries,Money & Economics",F
845,"
                    immediately motionless likeness
                ","
by going you have to be and
seek it
out
 
said the starlet in the shared volitional language of space and time
explanation thrashes round the thing but doesn’t touch it
the thing we know then as /style of thrashing/ or
ripples in the pond sufficient
in itself, she licks her tongue, it could be desired as a figure—
 
faithless as a class of examples
i found new objects swimming blankly in a common
sense, by going alone to listen
                                                to them
                         in the night
            light of their pool—
 
                                     to begin with life or stars
                                                              the spring as source or
                                                      season
                                         when to start—i love what you
                        said about the birds
                        as distance is required for attraction
                        & force keeps its distinctions
                        in a tall hull
                        called law—
                        clever in the style of depth in a painting
                        sumptuous for use, and briefly this
                        of fancy, pity, and devising,
                        wherefore as it is at the right door
                        make it language or rejoice
                        this is how you touch me in my other ghosts
                        & short of the occasion
                        just a frequent mist of atoms
                        all touching in the arms
                        like an error in the wish
 
",Kirsten Ihns,"Living,The Mind,Love,Desire,Arts & Sciences,Language & Linguistics",F
1036,"
                    dear love,
                ","
you dream in the language of dodging bullets and artillery fire.
new, sexy diagnoses have been added to the lexicon on your behalf
(“charlie don’t surf,” has also been added to the lexicon on your behalf).
in this home that is not our home, we have mutually exiled each
other. i walk down your street in the rain, and i do not call you. i
walk in the opposite direction of where i know to find you. that we
do not speak is louder than bombs.
 
there are times that missing you is a matter of procedure. now is
not one of those times. there are times when missing you hurts. so
it comes to this, vying for geography. there is a prayer stuck in my
throat. douse me in gasoline, my love, and strike a match. let’s see
this prayer ignite to high heaven.
 
",Barbara Jane Reyes,"Love,Break-ups & Vexed Love,Desire,Relationships,Men & Women,Social Commentaries,War & Conflict",F
1037,"
                    The Flowers
                ","
From golden showers of the ancient skies,
On the first day, and the eternal snow of stars,
You once unfastened giant calyxes
For the young earth still innocent of scars:
 
Young gladioli with the necks of swans,
Laurels divine, of exiled souls the dream,
Vermilion as the modesty of dawns
Trod by the footsteps of the seraphim;
 
The hyacinth, the myrtle gleaming bright,
And, like the flesh of woman, the cruel rose,
Hérodiade blooming in the garden light,
She that from wild and radiant blood arose!
 
And made the sobbing whiteness of the lily
That skims a sea of sighs, and as it wends
Through the blue incense of horizons, palely
Toward the weeping moon in dreams ascends!
 
Hosanna on the lute and in the censers,
Lady, and of our purgatorial groves!
Through heavenly evenings let the echoes answer,
Sparkling haloes, glances of rapturous love!
 
Mother, who in your strong and righteous bosom,
Formed calyxes balancing the future flask,
Capacious flowers with the deadly balsam
For the weary poet withering on the husk.
",Stéphane Mallarmé,"Living,Time & Brevity,Love,Desire,Nature,Seas, Rivers, & Streams,Stars, Planets, Heavens,Trees & Flowers,Arts & Sciences,Poetry & Poets,Mythology & Folklore,Greek & Roman Mythology",F
1054,"
                    Book Nine
                ","



One man prays: How shall I be able to lie with this woman?
      Do thou pray thus: How shall I not desire to lie with her?
      Another prays thus: How shall I be released from this?     
      Another prays: How shall I not desire to be released?
      —Marcus Aurelius




When we are lost in our longings, Aurelius, already it is too late:
there is already nothing we can do. I have rarely desired an end
to my desires. We are so in love with our wanting. Last week,
though doctors were quick to repair it, a baby in India was born
grasping her own beating heart in her fist. Today, a Dumpster
arrives from Dave’s Trash Removal & I begin to fill it. I toss in
a transistor radio that hasn’t worked in years. A man walking past
asks if he can take it. Later, he returns & carries off a broken TV.
A neighbor salvages the dented gray fuse box; a girl wants a window,
a paper bag full of tangled cords. All night I listen to the wind
& the echoes of feet kicking through rubbish, like a mouse nesting
inside a drum. My older brother is dead a decade. Yet here
in its enormous gold frame is the familiar, pastel portrait
someone named Maxwell drew for our mother, an inaccurate
rendering of the two of us when we were small. I can’t look at it;
I can’t throw it away. Every change is a death, you tell yourself,turn thy thoughts now to thy life as a child. . . . One day, I tell myself,
I will shut all the doors, leave everything behind. The museum
is showing a hundred tricked-out Victorian photographs
of that other world: the hoax of floating fairies, women haunted
by ghostly blurs. Another century & still we want to believe
in what we know cannot be true. Your words, Aurelius, have found me,
but you could not. If we are disappointed, we have only ourselves
to blame: Wipe out thy imagination. We fill our hands when they are
empty. We empty ourselves when we have held too much too long.
",Kathleen Graber,"Living,Life Choices,Sorrow & Grieving,Time & Brevity,Love,Classic Love,Desire,Heartache & Loss,Relationships,Family & Ancestors",F
